order_id,order_number,order_date,created_at,closed_at,order_type,table_number,party_size,server_id,subtotal,discount_amount,discount_reason,gst,tip,total,payment_method,card_brand,card_last_four,delivery_platform,status
25,#025,2026-05-01,2026-05-01 13:52:24,2026-05-01 14:38:24,dine_in,6,2,8,51.50,0.00,,2.58,9.27,63.35,Credit,Mastercard,6043,,completed
26,#026,2026-05-01,2026-05-01 13:50:00,2026-05-01 14:06:00,takeout,,1,3,21.00,0.00,,1.05,1.05,23.10,Credit,Visa,1925,,completed
27,#027,2026-05-01,2026-05-01 13:46:55,2026-05-01 14:50:55,dine_in,6,3,2,72.00,0.00,,3.60,14.40,90.00,Mobile,Apple Pay,8689,,completed
28,#028,2026-05-01,2026-05-01 13:35:51,2026-05-01 13:45:51,delivery,,1,6,28.50,0.00,,1.43,0.00,29.93,Cash,,,DoorDash,completed
29,#029,2026-05-01,2026-05-01 13:14:26,2026-05-01 13:32:26,takeout,,3,5,83.50,0.00,,4.17,12.53,100.20,Credit,Interac Debit,3457,,completed
30,#030,2026-05-01,2026-05-01 13:05:33,2026-05-01 13:13:33,delivery,,2,4,58.00,0.00,,2.90,0.00,60.90,Credit,Visa,5843,UberEats,completed
31,#031,2026-05-01,2026-05-01 13:27:32,2026-05-01 14:31:32,dine_in,5,4,8,150.50,0.00,,7.53,27.09,185.12,Cash,,,,completed
32,#032,2026-05-01,2026-05-01 13:11:57,2026-05-01 14:22:57,dine_in,11,2,5,50.00,0.00,,2.50,7.50,60.00,Credit,Mastercard,1475,,completed
33,#033,2026-05-01,2026-05-01 14:48:31,2026-05-01 15:13:31,takeout,,1,6,38.75,0.00,,1.94,0.00,40.69,Debit,Interac Debit,9194,,completed
34,#034,2026-05-01,2026-05-01 15:39:30,2026-05-01 16:26:30,dine_in,11,2,8,45.50,0.00,,2.27,9.10,56.87,Debit,Interac Debit,3074,,completed
35,#035,2026-05-01,2026-05-01 15:41:39,2026-05-01 16:51:39,dine_in,2,2,5,62.50,0.00,,3.12,11.25,76.87,Mobile,Google Pay,0565,,completed
36,#036,2026-05-01,2026-05-01 15:38:56,2026-05-01 16:39:56,dine_in,9,2,8,53.50,0.00,,2.68,8.03,64.21,Credit,Interac Debit,8104,,completed
37,#037,2026-05-01,2026-05-01 15:56:32,2026-05-01 16:26:32,takeout,,1,5,19.00,0.00,,0.95,0.00,19.95,Mobile,Google Pay,4595,,completed
38,#038,2026-05-01,2026-05-01 16:05:58,2026-05-01 16:13:58,delivery,,2,1,63.25,0.00,,3.16,0.00,66.41,Credit,Visa,5641,DoorDash,completed
39,#039,2026-05-01,2026-05-01 17:23:12,2026-05-01 18:38:12,dine_in,3,2,8,71.50,0.00,,3.58,12.87,87.95,Credit,Visa,5069,,completed
40,#040,2026-05-01,2026-05-01 17:31:49,2026-05-01 18:17:49,dine_in,14,4,8,104.00,0.00,,5.20,20.80,130.00,Debit,Interac Debit,1073,,completed
41,#041,2026-05-01,2026-05-01 17:52:01,2026-05-01 18:43:01,dine_in,4,4,2,125.75,0.00,,6.29,25.15,157.19,Credit,Interac Debit,9930,,completed
42,#042,2026-05-01,2026-05-01 17:18:47,2026-05-01 18:10:47,dine_in,13,7,2,206.75,0.00,,10.34,37.21,254.30,Credit,Visa,1650,,completed
43,#043,2026-05-01,2026-05-01 17:40:04,2026-05-01 18:00:04,takeout,,2,4,44.00,0.00,,2.20,0.00,46.20,Credit,Mastercard,9785,,completed
44,#044,2026-05-01,2026-05-01 17:41:08,2026-05-01 18:53:08,dine_in,4,4,5,103.25,0.00,,5.16,15.49,123.90,Debit,Interac Debit,7841,,completed
45,#045,2026-05-01,2026-05-01 17:35:54,2026-05-01 18:10:54,dine_in,9,5,8,134.25,0.00,,6.71,26.85,167.81,Credit,Interac Debit,1956,,completed
46,#046,2026-05-01,2026-05-01 17:13:25,2026-05-01 18:01:25,dine_in,7,2,2,59.00,0.00,,2.95,8.85,70.80,Cash,,,,completed
47,#047,2026-05-01,2026-05-01 17:08:44,2026-05-01 17:23:44,delivery,,3,6,90.50,0.00,,4.53,0.00,95.03,Credit,Interac Debit,9441,DoorDash,completed
48,#048,2026-05-01,2026-05-01 17:17:46,2026-05-01 18:27:46,dine_in,3,2,3,57.50,0.00,,2.88,10.35,70.73,Mobile,Google Pay,6690,,completed
49,#049,2026-05-01,2026-05-01 17:23:06,2026-05-01 18:27:06,dine_in,9,5,7,139.75,0.00,,6.99,27.95,174.69,Mobile,Apple Pay,6738,,completed
50,#050,2026-05-01,2026-05-01 17:24:54,2026-05-01 17:53:54,takeout,,1,8,29.25,0.00,,1.46,1.46,32.17,Cash,,,,completed
51,#051,2026-05-01,2026-05-01 18:47:08,2026-05-01 19:09:08,takeout,,1,4,32.00,0.00,,1.60,1.60,35.20,Credit,Visa,5577,,completed
52,#052,2026-05-01,2026-05-01 18:08:29,2026-05-01 18:48:29,dine_in,14,2,3,41.00,0.00,,2.05,7.38,50.43,Debit,Interac Debit,5827,,completed
53,#053,2026-05-01,2026-05-01 18:16:49,2026-05-01 18:39:49,takeout,,1,1,21.00,0.00,,1.05,1.05,23.10,Debit,Interac Debit,7850,,completed
54,#054,2026-05-01,2026-05-01 18:46:24,2026-05-01 18:58:24,delivery,,2,6,50.00,0.00,,2.50,0.00,52.50,Credit,Interac Debit,4610,SkipTheDishes,completed
55,#055,2026-05-01,2026-05-01 18:36:27,2026-05-01 19:43:27,dine_in,7,2,2,52.00,10.00,Loyalty,2.10,8.40,52.50,Credit,Visa,8457,,completed
56,#056,2026-05-01,2026-05-01 18:11:57,2026-05-01 18:49:57,dine_in,1,1,5,29.00,0.00,,1.45,5.22,35.67,Cash,,,,completed
57,#057,2026-05-01,2026-05-01 18:33:56,2026-05-01 19:25:56,dine_in,12,2,2,52.50,0.00,,2.62,0.00,0.00,Debit,Interac Debit,6021,,voided
58,#058,2026-05-01,2026-05-01 18:47:07,2026-05-01 19:52:07,dine_in,14,1,6,18.00,0.00,,0.90,1.80,20.70,Cash,,,,completed
59,#059,2026-05-01,2026-05-01 18:45:57,2026-05-01 19:53:57,dine_in,5,3,7,65.25,0.00,,3.26,13.05,81.56,Credit,Visa,2004,,completed
60,#060,2026-05-01,2026-05-01 18:06:12,2026-05-01 19:16:12,dine_in,9,3,4,72.25,0.00,,3.61,14.45,90.31,Credit,Mastercard,2069,,completed
61,#061,2026-05-01,2026-05-01 18:45:43,2026-05-01 19:23:43,dine_in,14,2,8,53.50,0.00,,2.68,13.38,69.56,Cash,,,,completed
62,#062,2026-05-01,2026-05-01 18:40:40,2026-05-01 19:31:40,dine_in,4,2,7,51.75,0.00,,2.59,7.76,62.10,Credit,Mastercard,5413,,completed
63,#063,2026-05-01,2026-05-01 18:58:38,2026-05-01 20:04:38,dine_in,13,4,5,104.00,0.00,,5.20,15.60,124.80,Credit,Interac Debit,5135,,completed
64,#064,2026-05-01,2026-05-01 18:30:03,2026-05-01 19:21:03,dine_in,12,2,5,53.00,0.00,,2.65,10.60,66.25,Credit,Visa,2358,,completed
65,#065,2026-05-01,2026-05-01 18:01:41,2026-05-01 18:08:41,delivery,,3,3,121.25,0.00,,6.06,0.00,127.31,Credit,Interac Debit,5769,UberEats,completed
66,#066,2026-05-01,2026-05-01 18:45:33,2026-05-01 18:53:33,delivery,,1,3,35.50,0.00,,1.78,0.00,37.28,Debit,Interac Debit,6917,UberEats,completed
67,#067,2026-05-01,2026-05-01 18:27:48,2026-05-01 18:45:48,takeout,,1,1,30.00,0.00,,1.50,1.50,33.00,Credit,Mastercard,6252,,completed
68,#068,2026-05-01,2026-05-01 18:27:19,2026-05-01 18:35:19,delivery,,4,5,103.25,0.00,,5.16,0.00,108.41,Mobile,Google Pay,2381,SkipTheDishes,completed
69,#069,2026-05-01,2026-05-01 18:01:10,2026-05-01 18:42:10,dine_in,2,2,2,66.50,0.00,,3.33,13.30,83.13,Credit,Visa,3067,,completed
70,#070,2026-05-01,2026-05-01 18:00:21,2026-05-01 18:35:21,dine_in,10,4,3,86.00,0.00,,4.30,17.20,107.50,Cash,,,,completed
71,#071,2026-05-01,2026-05-01 19:30:50,2026-05-01 20:24:50,dine_in,9,5,4,119.50,0.00,,5.98,23.90,149.38,Mobile,Google Pay,2767,,completed
72,#072,2026-05-01,2026-05-01 19:11:37,2026-05-01 19:49:37,dine_in,1,2,4,79.00,0.00,,3.95,15.80,98.75,Cash,,,,completed
73,#073,2026-05-01,2026-05-01 19:50:04,2026-05-01 20:15:04,takeout,,3,7,82.50,0.00,,4.12,0.00,86.62,Mobile,Apple Pay,0944,,completed
74,#074,2026-05-01,2026-05-01 19:19:25,2026-05-01 19:26:25,delivery,,1,2,20.00,0.00,,1.00,0.00,21.00,Debit,Interac Debit,5324,SkipTheDishes,completed
75,#075,2026-05-01,2026-05-01 19:35:15,2026-05-01 20:44:15,dine_in,10,2,5,80.25,0.00,,4.01,16.05,100.31,Debit,Interac Debit,2209,,completed
76,#076,2026-05-01,2026-05-01 19:59:33,2026-05-01 20:11:33,takeout,,2,2,82.50,0.00,,4.12,0.00,86.62,Cash,,,,completed
77,#077,2026-05-01,2026-05-01 19:12:28,2026-05-01 19:50:28,dine_in,6,4,7,99.50,0.00,,4.98,19.90,124.38,Mobile,Apple Pay,7096,,completed
78,#078,2026-05-01,2026-05-01 19:43:09,2026-05-01 20:38:09,dine_in,15,2,2,50.50,0.00,,2.53,10.10,63.13,Credit,Interac Debit,0800,,completed
79,#079,2026-05-01,2026-05-01 19:07:50,2026-05-01 20:04:50,dine_in,10,3,4,110.00,0.00,,5.50,16.50,132.00,Mobile,Apple Pay,0731,,completed
80,#080,2026-05-01,2026-05-01 19:01:12,2026-05-01 20:01:12,dine_in,9,3,8,83.00,0.00,,4.15,20.75,107.90,Debit,Interac Debit,3041,,completed
81,#081,2026-05-01,2026-05-01 19:19:06,2026-05-01 20:22:06,dine_in,9,2,3,62.25,0.00,,3.11,12.45,77.81,Cash,,,,completed
82,#082,2026-05-01,2026-05-01 19:05:12,2026-05-01 19:41:12,dine_in,9,5,6,125.00,0.00,,6.25,25.00,156.25,Debit,Interac Debit,9178,,completed
83,#083,2026-05-01,2026-05-01 19:59:40,2026-05-01 20:08:40,delivery,,4,6,88.00,0.00,,4.40,0.00,92.40,Credit,Mastercard,5667,UberEats,completed
84,#084,2026-05-01,2026-05-01 19:11:30,2026-05-01 19:55:30,dine_in,13,2,4,43.00,0.00,,2.15,8.60,53.75,Credit,Visa,3703,,completed
85,#085,2026-05-01,2026-05-01 19:13:07,2026-05-01 19:59:07,dine_in,9,4,1,94.75,0.00,,4.74,18.95,118.44,Debit,Interac Debit,7496,,completed
86,#086,2026-05-01,2026-05-01 19:06:28,2026-05-01 20:05:28,dine_in,8,3,6,119.50,0.00,,5.98,21.51,146.99,Cash,,,,completed
87,#087,2026-05-01,2026-05-01 19:24:27,2026-05-01 20:19:27,dine_in,7,4,5,120.50,0.00,,6.03,18.07,144.60,Credit,Visa,0515,,completed
88,#088,2026-05-01,2026-05-01 19:32:57,2026-05-01 20:37:57,dine_in,4,4,7,105.75,0.00,,5.29,19.04,130.08,Cash,,,,completed
89,#089,2026-05-01,2026-05-01 19:30:02,2026-05-01 19:59:02,takeout,,2,3,56.50,0.00,,2.83,0.00,59.33,Debit,Interac Debit,6100,,completed
90,#090,2026-05-01,2026-05-01 19:13:01,2026-05-01 19:50:01,dine_in,8,2,3,77.25,0.00,,3.86,15.45,96.56,Debit,Interac Debit,1432,,completed
91,#091,2026-05-01,2026-05-01 20:22:15,2026-05-01 20:51:15,takeout,,4,3,111.50,0.00,,5.58,0.00,117.08,Credit,Visa,4196,,completed
92,#092,2026-05-01,2026-05-01 20:53:24,2026-05-01 21:03:24,delivery,,2,2,44.00,0.00,,2.20,0.00,46.20,Credit,Mastercard,8109,SkipTheDishes,completed
93,#093,2026-05-01,2026-05-01 20:30:47,2026-05-01 21:14:47,dine_in,9,2,5,63.00,0.00,,3.15,9.45,75.60,Credit,Mastercard,0419,,completed
94,#094,2026-05-01,2026-05-01 20:13:13,2026-05-01 20:27:13,takeout,,4,4,105.00,0.00,,5.25,5.25,115.50,Debit,Interac Debit,3619,,completed
95,#095,2026-05-01,2026-05-01 20:27:01,2026-05-01 20:39:01,delivery,,1,5,30.50,0.00,,1.53,0.00,32.03,Debit,Interac Debit,3067,UberEats,completed
96,#096,2026-05-01,2026-05-01 20:46:07,2026-05-01 21:04:07,takeout,,2,6,47.00,0.00,,2.35,7.05,56.40,Credit,Interac Debit,4261,,completed
97,#097,2026-05-01,2026-05-01 20:29:11,2026-05-01 21:05:11,dine_in,4,1,5,20.00,0.00,,1.00,3.00,24.00,Cash,,,,completed
98,#098,2026-05-01,2026-05-01 20:48:33,2026-05-01 22:02:33,dine_in,13,4,4,85.75,0.00,,4.29,15.43,105.47,Cash,,,,completed
99,#001,2026-05-02,2026-05-02 11:03:49,2026-05-02 11:18:49,delivery,,2,3,40.50,0.00,,2.02,0.00,42.52,Credit,Mastercard,6438,SkipTheDishes,completed
100,#002,2026-05-02,2026-05-02 11:32:52,2026-05-02 12:38:52,dine_in,10,2,6,47.50,0.00,,2.38,9.50,59.38,Credit,Mastercard,2937,,completed
101,#003,2026-05-02,2026-05-02 11:41:03,2026-05-02 11:50:03,delivery,,3,6,74.25,0.00,,3.71,0.00,77.96,Credit,Visa,7898,DoorDash,completed
102,#004,2026-05-02,2026-05-02 11:58:27,2026-05-02 12:45:27,dine_in,14,3,2,80.75,0.00,,4.04,16.15,100.94,Debit,Interac Debit,6711,,completed
103,#005,2026-05-02,2026-05-02 11:29:44,2026-05-02 12:26:44,dine_in,7,4,4,126.00,0.00,,6.30,18.90,151.20,Cash,,,,completed
104,#006,2026-05-02,2026-05-02 11:24:55,2026-05-02 11:29:55,delivery,,2,4,58.00,0.00,,2.90,0.00,60.90,Credit,Visa,1583,UberEats,completed
105,#007,2026-05-02,2026-05-02 11:49:16,2026-05-02 12:41:16,dine_in,10,2,4,42.75,0.00,,2.14,7.69,52.58,Cash,,,,completed
106,#008,2026-05-02,2026-05-02 11:01:22,2026-05-02 12:04:22,dine_in,15,2,6,51.75,0.00,,2.59,10.35,64.69,Credit,Visa,1890,,completed
107,#009,2026-05-02,2026-05-02 12:36:19,2026-05-02 13:32:19,dine_in,13,8,8,196.25,0.00,,9.81,39.25,245.31,Mobile,Apple Pay,7943,,completed
108,#010,2026-05-02,2026-05-02 12:30:00,2026-05-02 13:42:00,dine_in,13,3,3,86.00,0.00,,4.30,12.90,103.20,Debit,Interac Debit,2875,,completed
109,#011,2026-05-02,2026-05-02 12:44:16,2026-05-02 13:19:16,dine_in,13,4,2,105.50,0.00,,5.28,18.99,129.77,Credit,Visa,4060,,completed
110,#012,2026-05-02,2026-05-02 12:50:31,2026-05-02 13:39:31,dine_in,4,4,8,109.00,0.00,,5.45,16.35,130.80,Credit,Mastercard,6139,,completed
111,#013,2026-05-02,2026-05-02 12:55:00,2026-05-02 14:09:00,dine_in,9,4,1,105.50,0.00,,5.28,15.82,126.60,Cash,,,,completed
112,#014,2026-05-02,2026-05-02 12:30:05,2026-05-02 13:09:05,dine_in,3,2,2,49.00,0.00,,2.45,7.35,58.80,Debit,Interac Debit,1118,,completed
113,#015,2026-05-02,2026-05-02 12:39:44,2026-05-02 13:53:44,dine_in,13,2,4,47.50,0.00,,2.38,8.55,58.43,Credit,Mastercard,8020,,completed
114,#016,2026-05-02,2026-05-02 12:44:00,2026-05-02 13:31:00,dine_in,13,8,5,187.00,0.00,,9.35,18.70,215.05,Mobile,Apple Pay,9380,,completed
115,#017,2026-05-02,2026-05-02 12:09:18,2026-05-02 13:11:18,dine_in,6,2,7,61.50,0.00,,3.08,15.38,79.96,Credit,Visa,4772,,completed
116,#018,2026-05-02,2026-05-02 12:47:03,2026-05-02 13:37:03,dine_in,15,1,5,19.00,0.00,,0.95,3.80,23.75,Credit,Visa,5137,,completed
117,#019,2026-05-02,2026-05-02 12:01:29,2026-05-02 12:17:29,takeout,,2,7,44.50,0.00,,2.23,0.00,46.73,Cash,,,,completed
118,#020,2026-05-02,2026-05-02 12:08:07,2026-05-02 12:38:07,takeout,,2,1,67.75,0.00,,3.39,0.00,71.14,Credit,Mastercard,5983,,completed
119,#021,2026-05-02,2026-05-02 12:22:17,2026-05-02 13:25:17,dine_in,2,2,3,42.50,0.00,,2.12,4.25,48.87,Mobile,Apple Pay,6738,,completed
120,#022,2026-05-02,2026-05-02 12:05:24,2026-05-02 13:16:24,dine_in,10,2,7,61.00,0.00,,3.05,9.15,73.20,Credit,Visa,2797,,completed
121,#023,2026-05-02,2026-05-02 12:29:25,2026-05-02 12:44:25,delivery,,1,5,32.00,0.00,,1.60,0.00,33.60,Mobile,Google Pay,7625,SkipTheDishes,completed
122,#024,2026-05-02,2026-05-02 12:53:40,2026-05-02 12:58:40,delivery,,3,1,74.50,0.00,,3.73,0.00,78.23,Credit,Visa,0611,DoorDash,completed
123,#025,2026-05-02,2026-05-02 12:02:19,2026-05-02 12:12:19,delivery,,2,6,46.00,0.00,,2.30,0.00,48.30,Mobile,Apple Pay,1583,DoorDash,completed
124,#026,2026-05-02,2026-05-02 12:12:43,2026-05-02 13:25:43,dine_in,12,1,2,24.00,0.00,,1.20,4.32,29.52,Credit,Mastercard,2999,,completed
125,#027,2026-05-02,2026-05-02 12:28:14,2026-05-02 13:31:14,dine_in,13,2,6,63.50,5.00,Manager comp,2.93,10.53,71.96,Debit,Interac Debit,8866,,completed
126,#028,2026-05-02,2026-05-02 12:54:50,2026-05-02 13:30:50,dine_in,14,2,7,37.00,0.00,,1.85,5.55,44.40,Cash,,,,completed
127,#029,2026-05-02,2026-05-02 12:24:50,2026-05-02 13:25:50,dine_in,14,4,1,113.00,0.00,,5.65,16.95,135.60,Cash,,,,completed
128,#030,2026-05-02,2026-05-02 12:55:42,2026-05-02 13:39:42,dine_in,6,3,5,95.50,0.00,,4.78,19.10,119.38,Cash,,,,completed
129,#031,2026-05-02,2026-05-02 13:38:14,2026-05-02 14:36:14,dine_in,6,4,7,107.25,0.00,,5.36,19.30,131.91,Cash,,,,completed
130,#032,2026-05-02,2026-05-02 13:08:36,2026-05-02 14:06:36,dine_in,6,1,6,21.75,0.00,,1.09,5.44,28.28,Debit,Interac Debit,3234,,completed
131,#033,2026-05-02,2026-05-02 13:32:36,2026-05-02 14:38:36,dine_in,14,3,2,70.25,35.12,Staff meal 50%,1.76,5.27,42.16,Mobile,Apple Pay,2256,,completed
132,#034,2026-05-02,2026-05-02 13:10:10,2026-05-02 13:26:10,takeout,,3,1,102.00,0.00,,5.10,0.00,107.10,Credit,Visa,7010,,completed
133,#035,2026-05-02,2026-05-02 13:12:59,2026-05-02 14:11:59,dine_in,13,7,7,178.00,0.00,,8.90,32.04,218.94,Credit,Visa,6179,,completed
134,#036,2026-05-02,2026-05-02 13:41:57,2026-05-02 14:03:57,takeout,,1,5,18.00,0.00,,0.90,0.00,18.90,Debit,Interac Debit,2623,,completed
135,#037,2026-05-02,2026-05-02 13:40:38,2026-05-02 13:52:38,delivery,,1,2,28.25,0.00,,1.41,0.00,29.66,Credit,Mastercard,9651,UberEats,completed
136,#038,2026-05-02,2026-05-02 13:58:05,2026-05-02 14:21:05,takeout,,2,8,47.00,0.00,,2.35,4.70,54.05,Debit,Interac Debit,5139,,completed
137,#039,2026-05-02,2026-05-02 13:37:02,2026-05-02 14:26:02,dine_in,5,3,2,93.50,0.00,,4.67,23.38,121.55,Debit,Interac Debit,2256,,completed
138,#040,2026-05-02,2026-05-02 13:32:28,2026-05-02 13:39:28,delivery,,2,5,67.00,0.00,,3.35,0.00,70.35,Credit,Mastercard,6959,UberEats,completed
139,#041,2026-05-02,2026-05-02 13:06:51,2026-05-02 13:54:51,dine_in,7,2,6,56.50,0.00,,2.83,11.30,70.63,Credit,Mastercard,1198,,completed
140,#042,2026-05-02,2026-05-02 13:30:45,2026-05-02 14:11:45,dine_in,9,3,2,74.25,0.00,,3.71,14.85,92.81,Credit,Mastercard,2786,,completed
141,#043,2026-05-02,2026-05-02 13:53:01,2026-05-02 14:08:01,delivery,,3,5,54.00,0.00,,2.70,0.00,56.70,Credit,Visa,4342,DoorDash,completed
142,#044,2026-05-02,2026-05-02 13:46:58,2026-05-02 14:29:58,dine_in,13,2,2,52.00,0.00,,2.60,5.20,59.80,Mobile,Google Pay,9107,,completed
143,#045,2026-05-02,2026-05-02 13:27:00,2026-05-02 14:15:00,dine_in,5,4,2,125.00,0.00,,6.25,22.50,153.75,Credit,Visa,7898,,completed
144,#046,2026-05-02,2026-05-02 14:05:11,2026-05-02 14:55:11,dine_in,7,2,6,43.50,0.00,,2.18,6.52,52.20,Credit,Visa,2899,,completed
145,#047,2026-05-02,2026-05-02 14:21:02,2026-05-02 15:17:02,dine_in,3,1,1,22.00,0.00,,1.10,3.96,27.06,Credit,Visa,5085,,completed
146,#048,2026-05-02,2026-05-02 14:49:28,2026-05-02 15:27:28,dine_in,10,2,5,58.75,0.00,,2.94,10.57,72.26,Debit,Interac Debit,9726,,completed
147,#049,2026-05-02,2026-05-02 14:42:16,2026-05-02 15:41:16,dine_in,13,4,7,107.50,0.00,,5.38,10.75,123.63,Credit,Interac Debit,3039,,completed
148,#050,2026-05-02,2026-05-02 15:44:01,2026-05-02 15:54:01,delivery,,2,5,57.00,0.00,,2.85,0.00,59.85,Debit,Interac Debit,0582,SkipTheDishes,completed
149,#051,2026-05-02,2026-05-02 15:22:08,2026-05-02 16:10:08,dine_in,10,1,2,26.25,0.00,,1.31,4.72,32.28,Mobile,Google Pay,4951,,completed
150,#052,2026-05-02,2026-05-02 15:12:50,2026-05-02 15:21:50,delivery,,1,4,22.50,0.00,,1.12,0.00,23.62,Credit,Interac Debit,4301,DoorDash,completed
151,#053,2026-05-02,2026-05-02 15:43:07,2026-05-02 15:54:07,delivery,,2,3,52.00,0.00,,2.60,0.00,54.60,Debit,Interac Debit,3202,SkipTheDishes,completed
152,#054,2026-05-02,2026-05-02 16:48:52,2026-05-02 17:13:52,takeout,,1,2,27.25,0.00,,1.36,4.09,32.70,Credit,Visa,1566,,completed
153,#055,2026-05-02,2026-05-02 16:00:29,2026-05-02 16:44:29,dine_in,4,4,1,97.00,0.00,,4.85,19.40,121.25,Cash,,,,completed
154,#056,2026-05-02,2026-05-02 16:18:27,2026-05-02 17:17:27,dine_in,14,1,6,50.50,0.00,,2.53,9.09,62.12,Mobile,Google Pay,1960,,completed
155,#057,2026-05-02,2026-05-02 16:45:18,2026-05-02 17:00:18,takeout,,1,5,28.50,0.00,,1.43,1.43,31.36,Mobile,Google Pay,0419,,completed
156,#058,2026-05-02,2026-05-02 17:05:15,2026-05-02 18:07:15,dine_in,13,4,4,108.00,0.00,,5.40,19.44,132.84,Mobile,Apple Pay,2589,,completed
157,#059,2026-05-02,2026-05-02 17:41:47,2026-05-02 18:42:47,dine_in,7,3,1,67.25,0.00,,3.36,0.00,70.61,Debit,Interac Debit,6183,,completed
158,#060,2026-05-02,2026-05-02 17:31:21,2026-05-02 18:06:21,dine_in,7,3,5,79.50,0.00,,3.98,14.31,97.79,Debit,Interac Debit,9169,,completed
159,#061,2026-05-02,2026-05-02 17:14:29,2026-05-02 17:29:29,takeout,,1,8,18.00,0.00,,0.90,0.00,18.90,Mobile,Apple Pay,0475,,completed
