order_item_id,order_id,menu_item_id,item_name,category,quantity,unit_price,modifier,line_total
46,5,70,Panna Cotta,Desserts,1,9.00,,9.00
47,6,49,Lunch Special,Lunch Special,1,18.00,Entree: Rendang,18.00
48,6,51,Soy Latte,Coffee,1,5.50,,5.50
49,6,24,Tempeh Pulau,Veggie & Tofu,1,20.00,,20.00
50,6,53,Vegan Iced Coffee,Coffee,1,5.50,,5.50
51,7,45,Bali Buddha Bowl,Rice & Noodles,1,18.00,Gluten Friendly,18.00
52,7,54,Iced Brown Sugar Oat Latte,Coffee,1,6.50,,6.50
53,7,49,Lunch Special,Lunch Special,1,18.00,Entree: Padmanadi Veg Deluxe,18.00
54,7,57,Soy Chai Latte,Tea,1,5.50,,5.50
55,8,29,Dendeng,Plant-Based Meat,1,20.00,,20.00
56,8,53,Vegan Iced Coffee,Coffee,1,5.50,,5.50
57,8,49,Lunch Special,Lunch Special,1,18.00,Entree: Curry Mutton,18.00
58,8,77,Sub Coconut Rice (+1),Extras,1,1.00,,1.00
59,8,61,Iced Oat Strawberry Matcha,Tea,1,8.50,,8.50
60,8,49,Lunch Special,Lunch Special,1,18.00,Entree: Teriyaki Chicken,18.00
61,8,77,Sub Coconut Rice (+1),Extras,1,1.00,,1.00
62,8,54,Iced Brown Sugar Oat Latte,Coffee,1,6.50,,6.50
63,8,2,Vegetable Spring Rolls (6pc),Starters,1,9.00,,9.00
64,9,49,Lunch Special,Lunch Special,1,18.00,Entree: Sweet & Sour Chicken,18.00
65,9,49,Lunch Special,Lunch Special,1,18.00,Entree: Curry Chicken,18.00
66,9,57,Soy Chai Latte,Tea,1,5.50,,5.50
67,9,9,Crispy Chicken Strips,Starters,1,13.00,,13.00
68,9,70,Panna Cotta,Desserts,1,9.00,,9.00
69,9,71,Fried Banana with Coconut Ice Cream,Desserts,1,13.00,,13.00
70,10,16,Chili Green Beans,Veggie & Tofu,1,19.00,Sauce on Side,19.00
71,10,54,Iced Brown Sugar Oat Latte,Coffee,1,6.50,,6.50
72,10,38,Rendang,Plant-Based Meat,1,20.00,No Peanuts,20.00
73,10,46,Jasmine Rice,Sides,1,2.75,,2.75
74,10,65,Iced Passion Fruit Green Tea,Drinks,1,7.00,,7.00
75,10,15,Padmanadi Vegetable Deluxe,Veggie & Tofu,1,19.00,,19.00
76,10,50,Americano,Coffee,1,4.50,,4.50
77,10,12,Wonton Soup,Soups,1,18.00,Sauce on Side,18.00
78,10,32,General Tao Chicken,Plant-Based Meat,1,21.00,,21.00
79,10,46,Jasmine Rice,Sides,1,2.75,,2.75
80,11,31,Spicy Chicken,Plant-Based Meat,1,19.00,,19.00
81,11,46,Jasmine Rice,Sides,1,2.75,,2.75
82,11,39,Nasi Goreng,Rice & Noodles,1,18.00,,18.00
83,11,36,Spicy Shrimp,Plant-Based Meat,1,20.00,Less Spicy,20.00
84,11,46,Jasmine Rice,Sides,1,2.75,,2.75
85,11,61,Iced Oat Strawberry Matcha,Tea,1,8.50,,8.50
86,11,2,Vegetable Spring Rolls (6pc),Starters,1,9.00,,9.00
87,11,72,Vegan Ice Cream,Desserts,1,7.00,,7.00
88,12,49,Lunch Special,Lunch Special,1,18.00,Entree: Curried Tofu w/ Vegetables,18.00
89,12,39,Nasi Goreng,Rice & Noodles,1,18.00,,18.00
90,12,60,Matcha Latte,Tea,1,6.50,,6.50
91,12,49,Lunch Special,Lunch Special,1,18.00,Entree: Sweet & Sour Nuggets,18.00
92,12,60,Matcha Latte,Tea,1,6.50,,6.50
93,12,32,General Tao Chicken,Plant-Based Meat,1,21.00,,21.00
94,12,46,Jasmine Rice,Sides,1,2.75,,2.75
95,13,49,Lunch Special,Lunch Special,1,18.00,Entree: Ginger Beef,18.00
96,13,51,Soy Latte,Coffee,1,5.50,,5.50
97,13,49,Lunch Special,Lunch Special,1,18.00,Entree: Chili Tofu,18.00
98,13,65,Iced Passion Fruit Green Tea,Drinks,1,7.00,,7.00
99,13,49,Lunch Special,Lunch Special,1,18.00,Entree: Chili Green Beans,18.00
100,13,65,Iced Passion Fruit Green Tea,Drinks,1,7.00,,7.00
101,13,8,Breaded Cauliflower Bites,Starters,1,13.00,,13.00
102,13,71,Fried Banana with Coconut Ice Cream,Desserts,1,13.00,,13.00
103,13,73,Chocolate Mousse,Desserts,1,9.00,,9.00
104,14,45,Bali Buddha Bowl,Rice & Noodles,1,18.00,,18.00
105,15,49,Lunch Special,Lunch Special,1,18.00,Entree: Kung Pao Chicken,18.00
106,15,62,Iced Lychee,Drinks,1,7.50,,7.50
107,15,23,Curry Vegetables & Tofu,Veggie & Tofu,1,20.00,Sauce on Side,20.00
108,15,66,Assorted Soft Drinks,Drinks,1,2.50,,2.50
109,15,27,Kung Pao Chicken,Plant-Based Meat,1,20.00,Extra Sauce,20.00
110,15,48,Brown Rice,Sides,1,3.00,,3.00
111,15,59,Hot Chocolate,Tea,1,5.00,,5.00
112,15,7,Roti Canai,Starters,1,13.00,,13.00
113,16,14,Spicy Curry Noodle Soup,Soups,1,18.00,No Cilantro,18.00
114,16,79,Add Noodles (Soup),Extras,1,3.00,,3.00
115,16,66,Assorted Soft Drinks,Drinks,1,2.50,,2.50
116,16,39,Nasi Goreng,Rice & Noodles,1,18.00,,18.00
117,16,54,Iced Brown Sugar Oat Latte,Coffee,1,6.50,,6.50
118,16,30,Sweet & Sour Chicken,Plant-Based Meat,1,19.00,No Cilantro,19.00
119,16,50,Americano,Coffee,1,4.50,,4.50
120,16,49,Lunch Special,Lunch Special,1,18.00,Entree: Chili Tofu,18.00
121,16,56,Organic Tea,Tea,1,3.50,,3.50
122,16,37,Teriyaki Chicken,Plant-Based Meat,1,19.00,,19.00
123,16,46,Jasmine Rice,Sides,1,2.75,,2.75
124,17,49,Lunch Special,Lunch Special,1,18.00,Entree: Curried Tofu w/ Vegetables,18.00
125,17,18,King Oyster Mushroom Gaylan,Veggie & Tofu,1,20.00,Extra Spicy,20.00
126,17,68,Iced Blackberry Hibiscus Tea,Drinks,1,7.00,,7.00
127,17,11,Fried Enoki Mushroom,Starters,1,16.00,,16.00
128,18,45,Bali Buddha Bowl,Rice & Noodles,1,18.00,,18.00
129,18,66,Assorted Soft Drinks,Drinks,1,2.50,,2.50
130,18,49,Lunch Special,Lunch Special,1,18.00,Entree: Curry Mutton,18.00
131,18,55,Decaf Coffee,Coffee,1,4.50,,4.50
132,18,2,Vegetable Spring Rolls (6pc),Starters,1,9.00,,9.00
133,19,31,Spicy Chicken,Plant-Based Meat,1,19.00,,19.00
134,19,60,Matcha Latte,Tea,1,6.50,,6.50
135,19,33,Curry Chicken,Plant-Based Meat,1,22.00,,22.00
136,19,45,Bali Buddha Bowl,Rice & Noodles,1,18.00,,18.00
137,19,58,London Fog,Tea,1,5.50,,5.50
138,19,28,Ginger Beef,Plant-Based Meat,1,21.00,,21.00
139,20,32,General Tao Chicken,Plant-Based Meat,1,21.00,,21.00
140,20,54,Iced Brown Sugar Oat Latte,Coffee,1,6.50,,6.50
141,20,21,Mapo Tofu,Veggie & Tofu,1,19.00,,19.00
142,20,24,Tempeh Pulau,Veggie & Tofu,1,20.00,,20.00
143,20,46,Jasmine Rice,Sides,1,2.75,,2.75
144,20,60,Matcha Latte,Tea,1,6.50,,6.50
145,20,14,Spicy Curry Noodle Soup,Soups,1,18.00,,18.00
146,20,11,Fried Enoki Mushroom,Starters,1,16.00,,16.00
147,21,49,Lunch Special,Lunch Special,1,18.00,Entree: Sweet & Sour Chicken,18.00
148,21,77,Sub Coconut Rice (+1),Extras,1,1.00,,1.00
149,21,62,Iced Lychee,Drinks,1,7.50,,7.50
150,22,27,Kung Pao Chicken,Plant-Based Meat,1,20.00,,20.00
151,23,28,Ginger Beef,Plant-Based Meat,1,21.00,,21.00
152,23,49,Lunch Special,Lunch Special,1,18.00,Entree: Kung Pao Chicken,18.00
153,23,78,Sub Brown Rice (+1),Extras,1,1.00,,1.00
154,23,6,Gado Gado,Starters,1,14.00,,14.00
155,24,49,Lunch Special,Lunch Special,1,18.00,Entree: Rendang,18.00
156,24,78,Sub Brown Rice (+1),Extras,1,1.00,,1.00
157,24,52,Soy Mocha,Coffee,1,6.00,,6.00
158,24,49,Lunch Special,Lunch Special,1,18.00,Entree: Chili Tofu,18.00
159,24,78,Sub Brown Rice (+1),Extras,1,1.00,,1.00
160,24,23,Curry Vegetables & Tofu,Veggie & Tofu,1,20.00,Extra Sauce,20.00
161,24,66,Assorted Soft Drinks,Drinks,1,2.50,,2.50
162,24,45,Bali Buddha Bowl,Rice & Noodles,1,18.00,,18.00
163,24,68,Iced Blackberry Hibiscus Tea,Drinks,1,7.00,,7.00
164,24,6,Gado Gado,Starters,1,14.00,,14.00
165,24,71,Fried Banana with Coconut Ice Cream,Desserts,1,13.00,,13.00
166,24,70,Panna Cotta,Desserts,1,9.00,,9.00
167,25,24,Tempeh Pulau,Veggie & Tofu,1,20.00,,20.00
168,25,67,Raspberry Lime Italian Soda,Drinks,1,6.50,,6.50
169,25,49,Lunch Special,Lunch Special,1,18.00,Entree: Sweet & Sour Nuggets,18.00
170,25,65,Iced Passion Fruit Green Tea,Drinks,1,7.00,,7.00
171,26,28,Ginger Beef,Plant-Based Meat,1,21.00,,21.00
172,27,49,Lunch Special,Lunch Special,1,18.00,Entree: Curry Mutton,18.00
173,27,62,Iced Lychee,Drinks,1,7.50,,7.50
174,27,31,Spicy Chicken,Plant-Based Meat,1,19.00,,19.00
175,27,66,Assorted Soft Drinks,Drinks,1,2.50,,2.50
176,27,28,Ginger Beef,Plant-Based Meat,1,21.00,No Cilantro,21.00
177,27,76,Extra Veggies,Extras,1,4.00,,4.00
178,28,31,Spicy Chicken,Plant-Based Meat,1,19.00,No Peanuts,19.00
179,28,47,Coconut Rice,Sides,1,3.00,,3.00
180,28,67,Raspberry Lime Italian Soda,Drinks,1,6.50,,6.50
181,29,49,Lunch Special,Lunch Special,1,18.00,Entree: Padmanadi Veg Deluxe,18.00
182,29,52,Soy Mocha,Coffee,1,6.00,,6.00
183,29,49,Lunch Special,Lunch Special,1,18.00,Entree: Ginger Beef,18.00
184,29,67,Raspberry Lime Italian Soda,Drinks,1,6.50,,6.50
185,29,49,Lunch Special,Lunch Special,1,18.00,Entree: Savory Eggplant,18.00
186,29,68,Iced Blackberry Hibiscus Tea,Drinks,1,7.00,,7.00
187,29,4,Satay with Peanut Sauce (3pc),Starters,1,10.00,,10.00
188,30,33,Curry Chicken,Plant-Based Meat,1,22.00,,22.00
189,30,51,Soy Latte,Coffee,1,5.50,,5.50
190,30,31,Spicy Chicken,Plant-Based Meat,1,19.00,No Peanuts,19.00
191,30,48,Brown Rice,Sides,1,3.00,,3.00
192,30,61,Iced Oat Strawberry Matcha,Tea,1,8.50,,8.50
193,31,37,Teriyaki Chicken,Plant-Based Meat,1,19.00,,19.00
194,31,55,Decaf Coffee,Coffee,1,4.50,,4.50
195,31,30,Sweet & Sour Chicken,Plant-Based Meat,1,19.00,Allergy: Nuts,19.00
196,31,46,Jasmine Rice,Sides,1,2.75,,2.75
197,31,58,London Fog,Tea,1,5.50,,5.50
198,31,49,Lunch Special,Lunch Special,1,18.00,Entree: Teriyaki Chicken,18.00
199,31,54,Iced Brown Sugar Oat Latte,Coffee,1,6.50,,6.50
200,31,23,Curry Vegetables & Tofu,Veggie & Tofu,1,20.00,Sauce on Side,20.00
201,31,46,Jasmine Rice,Sides,1,2.75,,2.75
202,31,67,Raspberry Lime Italian Soda,Drinks,1,6.50,,6.50
203,31,9,Crispy Chicken Strips,Starters,1,13.00,,13.00
204,31,9,Crispy Chicken Strips,Starters,1,13.00,,13.00
205,31,69,Cheesecake,Desserts,1,11.00,,11.00
206,31,73,Chocolate Mousse,Desserts,1,9.00,,9.00
207,32,49,Lunch Special,Lunch Special,1,18.00,Entree: Curry Chicken,18.00
208,32,60,Matcha Latte,Tea,1,6.50,,6.50
209,32,49,Lunch Special,Lunch Special,1,18.00,Entree: Spicy Nuggets,18.00
210,32,63,Iced Pineapple,Drinks,1,7.50,,7.50
211,33,28,Ginger Beef,Plant-Based Meat,1,21.00,Less Spicy,21.00
212,33,46,Jasmine Rice,Sides,1,2.75,,2.75
213,33,1,Vegetable Spring Rolls (3pc),Starters,1,6.00,,6.00
214,33,70,Panna Cotta,Desserts,1,9.00,,9.00
215,34,18,King Oyster Mushroom Gaylan,Veggie & Tofu,1,20.00,,20.00
216,34,63,Iced Pineapple,Drinks,1,7.50,,7.50
217,34,14,Spicy Curry Noodle Soup,Soups,1,18.00,,18.00
218,35,15,Padmanadi Vegetable Deluxe,Veggie & Tofu,1,19.00,Gluten Friendly,19.00
219,35,48,Brown Rice,Sides,1,3.00,,3.00
220,35,13,Tom Yum Soup,Soups,1,18.00,,18.00
221,35,79,Add Noodles (Soup),Extras,1,3.00,,3.00
222,35,66,Assorted Soft Drinks,Drinks,1,2.50,,2.50
223,35,1,Vegetable Spring Rolls (3pc),Starters,1,6.00,,6.00
224,35,69,Cheesecake,Desserts,1,11.00,,11.00
225,36,42,Kwetiau Goreng,Rice & Noodles,1,19.00,,19.00
226,36,67,Raspberry Lime Italian Soda,Drinks,1,6.50,,6.50
227,36,34,Curry Mutton,Plant-Based Meat,1,22.00,No Onion,22.00
228,36,52,Soy Mocha,Coffee,1,6.00,,6.00
229,37,37,Teriyaki Chicken,Plant-Based Meat,1,19.00,,19.00
230,38,27,Kung Pao Chicken,Plant-Based Meat,1,20.00,Gluten Friendly,20.00
231,38,46,Jasmine Rice,Sides,1,2.75,,2.75
232,38,60,Matcha Latte,Tea,1,6.50,,6.50
233,38,34,Curry Mutton,Plant-Based Meat,1,22.00,,22.00
234,38,48,Brown Rice,Sides,1,3.00,,3.00
235,38,70,Panna Cotta,Desserts,1,9.00,,9.00
236,39,14,Spicy Curry Noodle Soup,Soups,1,18.00,Less Spicy,18.00
237,39,60,Matcha Latte,Tea,1,6.50,,6.50
238,39,33,Curry Chicken,Plant-Based Meat,1,22.00,,22.00
239,39,74,Extra Protein,Extras,1,5.00,,5.00
240,39,68,Iced Blackberry Hibiscus Tea,Drinks,1,7.00,,7.00
241,39,7,Roti Canai,Starters,1,13.00,,13.00
242,40,16,Chili Green Beans,Veggie & Tofu,1,19.00,,19.00
243,40,48,Brown Rice,Sides,1,3.00,,3.00
244,40,29,Dendeng,Plant-Based Meat,1,20.00,No Cilantro,20.00
245,40,44,Lemongrass Vermicelli Bowl,Rice & Noodles,1,20.00,,20.00
246,40,15,Padmanadi Vegetable Deluxe,Veggie & Tofu,1,19.00,,19.00
247,40,4,Satay with Peanut Sauce (3pc),Starters,1,10.00,,10.00
248,40,71,Fried Banana with Coconut Ice Cream,Desserts,1,13.00,,13.00
249,41,30,Sweet & Sour Chicken,Plant-Based Meat,1,19.00,Less Spicy,19.00
250,41,46,Jasmine Rice,Sides,1,2.75,,2.75
251,41,51,Soy Latte,Coffee,1,5.50,,5.50
252,41,33,Curry Chicken,Plant-Based Meat,1,22.00,,22.00
253,41,64,Sparkling Yuzu,Drinks,1,8.50,,8.50
254,41,37,Teriyaki Chicken,Plant-Based Meat,1,19.00,No Mushrooms,19.00
255,41,52,Soy Mocha,Coffee,1,6.00,,6.00
256,41,45,Bali Buddha Bowl,Rice & Noodles,1,18.00,Sauce on Side,18.00
257,41,2,Vegetable Spring Rolls (6pc),Starters,1,9.00,,9.00
258,41,11,Fried Enoki Mushroom,Starters,1,16.00,,16.00
259,42,26,Chili Tofu,Veggie & Tofu,1,19.00,,19.00
260,42,46,Jasmine Rice,Sides,1,2.75,,2.75
261,42,67,Raspberry Lime Italian Soda,Drinks,1,6.50,,6.50
262,42,33,Curry Chicken,Plant-Based Meat,1,22.00,,22.00
263,42,64,Sparkling Yuzu,Drinks,1,8.50,,8.50
264,42,39,Nasi Goreng,Rice & Noodles,1,18.00,No Onion,18.00
265,42,68,Iced Blackberry Hibiscus Tea,Drinks,1,7.00,,7.00
266,42,43,Singapore Noodle,Rice & Noodles,1,19.00,,19.00
267,42,28,Ginger Beef,Plant-Based Meat,1,21.00,,21.00
268,42,51,Soy Latte,Coffee,1,5.50,,5.50
269,42,20,Spicy Coconut Eggplant,Veggie & Tofu,1,18.00,No Cilantro,18.00
270,42,27,Kung Pao Chicken,Plant-Based Meat,1,20.00,,20.00
271,42,51,Soy Latte,Coffee,1,5.50,,5.50
272,42,11,Fried Enoki Mushroom,Starters,1,16.00,,16.00
273,42,2,Vegetable Spring Rolls (6pc),Starters,1,9.00,,9.00
274,42,73,Chocolate Mousse,Desserts,1,9.00,,9.00
275,43,42,Kwetiau Goreng,Rice & Noodles,1,19.00,Extra Sauce,19.00
276,43,33,Curry Chicken,Plant-Based Meat,1,22.00,,22.00
277,43,48,Brown Rice,Sides,1,3.00,,3.00
278,44,17,Spicy String Beans,Veggie & Tofu,1,19.00,No Cilantro,19.00
279,44,47,Coconut Rice,Sides,1,3.00,,3.00
280,44,15,Padmanadi Vegetable Deluxe,Veggie & Tofu,1,19.00,No Onion,19.00
281,44,47,Coconut Rice,Sides,1,3.00,,3.00
282,44,50,Americano,Coffee,1,4.50,,4.50
283,44,35,Sweet & Sour Shrimp,Plant-Based Meat,1,20.00,,20.00
284,44,28,Ginger Beef,Plant-Based Meat,1,21.00,Less Spicy,21.00
285,44,46,Jasmine Rice,Sides,1,2.75,,2.75
286,44,69,Cheesecake,Desserts,1,11.00,,11.00
287,45,39,Nasi Goreng,Rice & Noodles,1,18.00,,18.00
288,45,28,Ginger Beef,Plant-Based Meat,1,21.00,,21.00
289,45,15,Padmanadi Vegetable Deluxe,Veggie & Tofu,1,19.00,Less Spicy,19.00
290,45,46,Jasmine Rice,Sides,1,2.75,,2.75
291,45,55,Decaf Coffee,Coffee,1,4.50,,4.50
292,45,28,Ginger Beef,Plant-Based Meat,1,21.00,No Onion,21.00
293,45,17,Spicy String Beans,Veggie & Tofu,1,19.00,,19.00
294,45,47,Coconut Rice,Sides,1,3.00,,3.00
295,45,7,Roti Canai,Starters,1,13.00,,13.00
296,45,8,Breaded Cauliflower Bites,Starters,1,13.00,,13.00
297,46,23,Curry Vegetables & Tofu,Veggie & Tofu,1,20.00,,20.00
298,46,56,Organic Tea,Tea,1,3.50,,3.50
299,46,37,Teriyaki Chicken,Plant-Based Meat,1,19.00,Extra Spicy,19.00
300,46,56,Organic Tea,Tea,1,3.50,,3.50
301,46,7,Roti Canai,Starters,1,13.00,,13.00
302,47,16,Chili Green Beans,Veggie & Tofu,1,19.00,,19.00
303,47,47,Coconut Rice,Sides,1,3.00,,3.00
304,47,27,Kung Pao Chicken,Plant-Based Meat,1,20.00,,20.00
305,47,13,Tom Yum Soup,Soups,1,18.00,,18.00
306,47,79,Add Noodles (Soup),Extras,1,3.00,,3.00
307,47,61,Iced Oat Strawberry Matcha,Tea,1,8.50,,8.50
308,47,1,Vegetable Spring Rolls (3pc),Starters,1,6.00,,6.00
309,47,71,Fried Banana with Coconut Ice Cream,Desserts,1,13.00,,13.00
310,48,35,Sweet & Sour Shrimp,Plant-Based Meat,1,20.00,No Cilantro,20.00
311,48,64,Sparkling Yuzu,Drinks,1,8.50,,8.50
312,48,43,Singapore Noodle,Rice & Noodles,1,19.00,,19.00
313,48,4,Satay with Peanut Sauce (3pc),Starters,1,10.00,,10.00
314,49,28,Ginger Beef,Plant-Based Meat,1,21.00,,21.00
315,49,47,Coconut Rice,Sides,1,3.00,,3.00
316,49,39,Nasi Goreng,Rice & Noodles,1,18.00,,18.00
317,49,30,Sweet & Sour Chicken,Plant-Based Meat,1,19.00,No Mushrooms,19.00
318,49,57,Soy Chai Latte,Tea,1,5.50,,5.50
319,49,33,Curry Chicken,Plant-Based Meat,1,22.00,,22.00
320,49,46,Jasmine Rice,Sides,1,2.75,,2.75
321,49,66,Assorted Soft Drinks,Drinks,1,2.50,,2.50
322,49,27,Kung Pao Chicken,Plant-Based Meat,1,20.00,,20.00
323,49,9,Crispy Chicken Strips,Starters,1,13.00,,13.00
324,49,9,Crispy Chicken Strips,Starters,1,13.00,,13.00
325,50,28,Ginger Beef,Plant-Based Meat,1,21.00,No Peanuts,21.00
326,50,46,Jasmine Rice,Sides,1,2.75,,2.75
327,50,51,Soy Latte,Coffee,1,5.50,,5.50
328,51,33,Curry Chicken,Plant-Based Meat,1,22.00,No Cilantro,22.00
329,51,4,Satay with Peanut Sauce (3pc),Starters,1,10.00,,10.00
330,52,45,Bali Buddha Bowl,Rice & Noodles,1,18.00,,18.00
331,52,38,Rendang,Plant-Based Meat,1,20.00,,20.00
332,52,48,Brown Rice,Sides,1,3.00,,3.00
333,53,28,Ginger Beef,Plant-Based Meat,1,21.00,,21.00
334,54,45,Bali Buddha Bowl,Rice & Noodles,1,18.00,,18.00
335,54,68,Iced Blackberry Hibiscus Tea,Drinks,1,7.00,,7.00
336,54,33,Curry Chicken,Plant-Based Meat,1,22.00,,22.00
337,54,47,Coconut Rice,Sides,1,3.00,,3.00
338,55,33,Curry Chicken,Plant-Based Meat,1,22.00,,22.00
339,55,48,Brown Rice,Sides,1,3.00,,3.00
340,55,59,Hot Chocolate,Tea,1,5.00,,5.00
341,55,39,Nasi Goreng,Rice & Noodles,1,18.00,,18.00
342,55,75,Extra Tofu,Extras,1,4.00,,4.00
343,56,28,Ginger Beef,Plant-Based Meat,1,21.00,,21.00
344,56,48,Brown Rice,Sides,1,3.00,,3.00
345,56,59,Hot Chocolate,Tea,1,5.00,,5.00
346,57,28,Ginger Beef,Plant-Based Meat,1,21.00,,21.00
347,57,46,Jasmine Rice,Sides,1,2.75,,2.75
348,57,65,Iced Passion Fruit Green Tea,Drinks,1,7.00,,7.00
349,57,31,Spicy Chicken,Plant-Based Meat,1,19.00,,19.00
350,57,46,Jasmine Rice,Sides,1,2.75,,2.75
351,58,13,Tom Yum Soup,Soups,1,18.00,Gluten Friendly,18.00
352,59,13,Tom Yum Soup,Soups,1,18.00,,18.00
353,59,25,Mushroom Tofu,Veggie & Tofu,1,19.00,Less Spicy,19.00
354,59,47,Coconut Rice,Sides,1,3.00,,3.00
355,59,56,Organic Tea,Tea,1,3.50,,3.50
356,59,16,Chili Green Beans,Veggie & Tofu,1,19.00,,19.00
357,59,46,Jasmine Rice,Sides,1,2.75,,2.75
358,60,20,Spicy Coconut Eggplant,Veggie & Tofu,1,18.00,,18.00
359,60,57,Soy Chai Latte,Tea,1,5.50,,5.50
360,60,34,Curry Mutton,Plant-Based Meat,1,22.00,,22.00
361,60,46,Jasmine Rice,Sides,1,2.75,,2.75
362,60,41,Bihun Goreng,Rice & Noodles,1,18.00,,18.00
363,60,1,Vegetable Spring Rolls (3pc),Starters,1,6.00,,6.00
364,61,30,Sweet & Sour Chicken,Plant-Based Meat,1,19.00,No Cilantro,19.00
365,61,48,Brown Rice,Sides,1,3.00,,3.00
366,61,66,Assorted Soft Drinks,Drinks,1,2.50,,2.50
367,61,23,Curry Vegetables & Tofu,Veggie & Tofu,1,20.00,,20.00
368,61,2,Vegetable Spring Rolls (6pc),Starters,1,9.00,,9.00
369,62,21,Mapo Tofu,Veggie & Tofu,1,19.00,No Peanuts,19.00
370,62,46,Jasmine Rice,Sides,1,2.75,,2.75
371,62,60,Matcha Latte,Tea,1,6.50,,6.50
372,62,13,Tom Yum Soup,Soups,1,18.00,Extra Sauce,18.00
373,62,53,Vegan Iced Coffee,Coffee,1,5.50,,5.50
374,63,44,Lemongrass Vermicelli Bowl,Rice & Noodles,1,20.00,No Onion,20.00
375,63,53,Vegan Iced Coffee,Coffee,1,5.50,,5.50
376,63,27,Kung Pao Chicken,Plant-Based Meat,1,20.00,Sauce on Side,20.00
377,63,43,Singapore Noodle,Rice & Noodles,1,19.00,,19.00
378,63,15,Padmanadi Vegetable Deluxe,Veggie & Tofu,1,19.00,,19.00
379,63,63,Iced Pineapple,Drinks,1,7.50,,7.50
380,63,7,Roti Canai,Starters,1,13.00,,13.00
381,64,30,Sweet & Sour Chicken,Plant-Based Meat,1,19.00,,19.00
382,64,47,Coconut Rice,Sides,1,3.00,,3.00
383,64,60,Matcha Latte,Tea,1,6.50,,6.50
384,64,17,Spicy String Beans,Veggie & Tofu,1,19.00,,19.00
385,64,48,Brown Rice,Sides,1,3.00,,3.00
386,64,66,Assorted Soft Drinks,Drinks,1,2.50,,2.50
387,65,40,Bakmi Goreng,Rice & Noodles,1,19.00,Sauce on Side,19.00
